Min1,Max1,Mean1,Median1,Std1,1st1,3rd1,Min2,Max2,Mean2,Median2,Std2,1st2,3rd2,Min3,Max3,Mean3,Median3,Std3,1st3,3rd3,Min4,Max4,Mean4,Median4,Std4,1st4,3rd4,Min5,Max5,Mean5,Median5,Std5,1st5,3rd5,Min6,Max6,Mean6,Median6,Std6,1st6,3rd6
36.25,48.0,43.96912499999999,44.5,1.618363585278194,43.31,44.67,0.0,1.5,0.41312500000000085,0.47,0.2631109551862858,0.43,0.5,1.5,26.33,15.868020833333334,16.25,3.7424202086823684,14.25,18.0,0.0,5.17,0.6663541666666685,0.47,0.7889846012606584,0.0,0.94,11.33,30.75,22.10375,21.67,3.318301138020592,20.5,23.75,0.0,2.96,0.5553125000000018,0.49,0.48782623177856416,0.0,0.83
37.0,48.0,43.45495833333334,43.25,1.3860978398519737,42.5,45.0,0.0,1.58,0.37808333333333416,0.47,0.31556635194105126,0.0,0.5,5.75,27.0,15.793333333333333,15.0,3.8476376361687574,13.0,18.27,0.0,10.03,0.8493541666666686,0.5,0.9957614765321261,0.43,1.12,8.0,33.5,23.034791666666667,23.5,2.4888622796595348,22.25,24.0,0.0,5.26,0.6796458333333354,0.5,0.6225337810449345,0.43,0.87
33.0,47.75,42.17981250000002,43.5,3.670665660998427,39.150000000000006,45.0,0.0,3.0,0.6960416666666683,0.5,0.630860298658193,0.0,1.12,8.5,30.0,22.183625,23.0,3.81046934147179,20.5,24.3725,0.0,5.15,0.9899166666666691,0.83,0.9537303933435255,0.43,1.3,20.0,38.67,33.493916666666664,35.0,3.8494478189457717,30.4575,36.33,0.0,2.18,0.6135208333333356,0.5,0.5243171317817953,0.0,1.0
33.0,45.75,41.6780625,41.75,2.2434900014223933,41.33,42.75,0.0,2.83,0.5359791666666676,0.5,0.40546872227401004,0.43,0.71,3.0,28.25,19.006562499999998,19.125,4.087106879865339,16.5,22.0625,0.0,6.42,0.8418750000000013,0.5,0.9288007313404859,0.43,1.12,23.67,37.5,29.857083333333332,30.0,2.4110263914491896,28.4575,31.25,0.0,1.79,0.38329166666666775,0.43,0.38916429696825316,0.0,0.5
18.33,47.67,34.33304166666667,34.75,4.948769856038023,31.25,38.0,0.0,12.48,4.396958333333325,3.9,2.568679977144409,2.49,5.745,7.67,23.33,15.562895833333332,15.5,2.9677409200715883,13.67,17.5,0.0,9.01,3.198312499999997,2.9299999999999997,1.6762705480191968,2.05,4.245,6.67,24.0,15.864437500000001,16.0,3.000492669401746,13.75,18.0,0.0,8.01,3.261583333333332,2.98,1.6172896711183782,2.05,4.32
21.5,51.0,34.935812500000004,35.5,4.6459444867043596,32.0,38.0625,0.0,12.21,4.115749999999996,3.8449999999999998,2.3352426212727377,2.35,5.625,6.5,23.33,15.524520833333332,15.5,2.900248239966241,13.33,17.67,0.0,9.09,3.0927916666666633,2.87,1.5034457702438166,2.0575,3.84,6.33,25.0,15.997229166666665,16.25,3.19205780277653,14.2375,18.25,0.0,10.21,3.280020833333331,3.0149999999999997,1.7009176571462197,2.12,4.5
18.0,46.0,35.19333333333332,36.0,4.751867947550034,32.0,38.75,0.0,16.2,4.321020833333333,3.88,2.6255161138080427,2.4800000000000004,5.87,5.67,24.5,15.462229166666669,15.67,3.1142221119923126,13.33,17.5,0.0,8.76,3.0728541666666658,2.86,1.5087137229064196,1.9124999999999999,4.09,6.25,23.5,16.101208333333336,16.33,3.207642198601944,14.25,18.5,0.0,8.5,3.2419583333333315,3.0149999999999997,1.7691824652470165,1.885,4.44
20.75,46.25,34.76333333333333,35.29,4.74220808365667,31.67,38.25,0.0,12.68,4.223791666666666,3.9,2.2780044279205445,2.49,5.7225,5.0,23.75,15.239020833333335,15.33,2.9208286065846374,13.5,17.25,0.0,9.2,3.2070624999999984,3.0,1.5904718632064376,2.05,4.195,6.0,25.5,16.2995625,16.25,3.1746807602150713,14.25,18.33,0.0,9.39,3.2882708333333333,3.27,1.6475277010299703,2.05,4.305
18.33,45.75,34.599875,35.125,4.7317896600826534,31.5,38.0,0.0,15.37,4.398833333333333,4.025,2.5385209091914573,2.55,5.7675,5.5,24.0,15.173666666666668,15.0,3.036746262631229,13.0,17.3725,0.0,9.18,3.1454999999999993,3.0149999999999997,1.5913463004691033,2.0374999999999996,4.157500000000001,6.5,23.25,16.0555625,16.0,2.905687766232461,14.0,18.25,0.0,8.86,3.2895416666666626,3.0149999999999997,1.680169553009909,2.12,4.26
15.5,43.67,34.225874999999995,34.75,4.441797589923912,31.25,37.25,0.0,17.24,4.354499999999998,3.9,2.518990618670896,2.49,5.765,7.67,23.0,15.606479166666665,15.5,2.81227370689409,13.75,17.5,0.0,9.2,3.365375,3.03,1.730792433484713,2.12,4.44,5.75,24.0,16.148000000000003,16.25,2.992920135830092,14.33,18.25,0.0,9.42,3.4795416666666648,3.27,1.7611462503638058,2.24,4.5375
